,Race,Hispanic origin,"Less than $10,000 pct","$10,000 to $20,000 pct","$20,000 to $30,000 pct","$30,000 to $40,000 pct","$40,000 to $50,000 pct","$50,000 to $75,000 pct","$75,000 to $100,000 pct","$100,000 and over pct"
0,Totals,Totals,0.0635061478007352,0.09476010901254912,0.09652680948155659,0.09226454556978071,0.08377962986436811,0.16966662441374064,0.1224648244390924,0.27703923184180507
1,Totals,Non Hispanic,0.0623284663519596,0.09190544150473891,0.09422915065685952,0.08864858930727852,0.0803966772788817,0.16817616276942218,0.12294617045412962,0.29136019321550116
3,Totals,Hispanic,0.07117942654448714,0.11315400532072126,0.11138043156961278,0.11563700857227313,0.10564587644102867,0.1791900679869938,0.11924327519952704,0.1844516701152823
6,White alone,Non Hispanic,0.04907153945512934,0.08386362828397739,0.08995461386232477,0.08645881474634719,0.08017822650408238,0.17050019552774717,0.12808844964271748,0.31187268181117944
10,Black or African American alone,Non Hispanic,0.12845303867403315,0.1432069311903566,0.12562782521346058,0.10817428427925666,0.08996735308890005,0.15996986438975389,0.09536664992466097,0.1492340532395781
14,American Indian and Alaska Native alone,Non Hispanic,0.13879408418657566,0.13196814562002276,0.1285551763367463,0.09442548350398179,0.09101251422070535,0.16040955631399317,0.09556313993174062,0.15813424345847554
18,Asian alone,Non Hispanic,0.05714743076676805,0.059548583319993596,0.06611173363214343,0.0643508884264447,0.05378581719225228,0.15239314871138146,0.1335040819593405,0.4133183928285577
22,Native Hawaiian and Other Pacific Islander alone,Non Hispanic,0.08196721311475409,0.06229508196721312,0.09508196721311475,0.08524590163934426,0.06229508196721312,0.2098360655737705,0.09836065573770492,0.3016393442622951
26,Two or more races,Non Hispanic,0.0761843790012804,0.11523687580025609,0.09795134443021766,0.10371318822023047,0.09859154929577464,0.18437900128040974,0.10307298335467349,0.21830985915492956
